year,band,count
2018,400-590,4452
2018,600-790,192267
2018,800-990,619145
2018,1000-1190,741452
2018,1200-1390,434200
2018,1400-1600,145023
2019,400-590,5447
2019,600-790,237303
2019,800-990,655005
2019,1000-1190,736067
2019,1200-1390,431780
2019,1400-1600,154485
2020,400-590,6829
2020,600-790,258103
2020,800-990,653184
2020,1000-1190,722696
2020,1200-1390,412655
2020,1400-1600,144993
2021,400-590,4647
2021,600-790,174343
2021,800-990,437359
2021,1000-1190,477893
2021,1200-1390,296187
2021,1400-1600,118704
2022,400-590,5291
2022,600-790,206991
2022,800-990,547391
2022,1000-1190,532092
2022,1200-1390,314516
2022,1400-1600,131397
2023,400-590,9536
2023,600-790,303276
2023,800-990,596783
2023,1000-1190,552167
2023,1200-1390,324391
2023,1400-1600,127589
2024,400-590,15786
2024,600-790,338320
2024,800-990,601348
2024,1000-1190,547126
2024,1200-1390,329072
2024,1400-1600,142239
2025,400-590,52472
2025,600-790,281174
2025,800-990,609159
2025,1000-1190,554819
2025,1200-1390,357574
2025,1400-1600,149767
