year,race,score_range,test_takers,percent,mean_total
2021,American Indian/Alaska Native,all,10288,,927
2021,Asian,all,167208,,1239
2021,Black/African American,all,168454,,934
2021,Hispanic/Latino,all,352094,,967
2021,Native Hawaiian/Other Pacific Islander,all,3015,,950
2021,White,all,635486,,1112
2021,Two or More Races,all,54961,,1116
2021,No Response,all,117627,,976
2021,Total,all,1509133,,1060
2021,American Indian/Alaska Native,400-590,,1,
2021,American Indian/Alaska Native,600-790,,25,
2021,American Indian/Alaska Native,800-990,,43,
2021,American Indian/Alaska Native,1000-1190,,24,
2021,American Indian/Alaska Native,1200-1390,,7,
2021,American Indian/Alaska Native,1400-1600,,1,
2021,Asian,400-590,,0,
2021,Asian,600-790,,2,
2021,Asian,800-990,,12,
2021,Asian,1000-1190,,26,
2021,Asian,1200-1390,,33,
2021,Asian,1400-1600,,27,
2021,Black/African American,400-590,,1,
2021,Black/African American,600-790,,23,
2021,Black/African American,800-990,,43,
2021,Black/African American,1000-1190,,24,
2021,Black/African American,1200-1390,,8,
2021,Black/African American,1400-1600,,1,
2021,Hispanic/Latino,400-590,,0,
2021,Hispanic/Latino,600-790,,18,
2021,Hispanic/Latino,800-990,,40,
2021,Hispanic/Latino,1000-1190,,28,
2021,Hispanic/Latino,1200-1390,,10,
2021,Hispanic/Latino,1400-1600,,2,
2021,Native Hawaiian/Other Pacific Islander,400-590,,0,
2021,Native Hawaiian/Other Pacific Islander,600-790,,21,
2021,Native Hawaiian/Other Pacific Islander,800-990,,42,
2021,Native Hawaiian/Other Pacific Islander,1000-1190,,25,
2021,Native Hawaiian/Other Pacific Islander,1200-1390,,8,
2021,Native Hawaiian/Other Pacific Islander,1400-1600,,3,
2021,White,400-590,,0,
2021,White,600-790,,5,
2021,White,800-990,,23,
2021,White,1000-1190,,39,
2021,White,1200-1390,,26,
2021,White,1400-1600,,8,
2021,Two or More Races,400-590,,0,
2021,Two or More Races,600-790,,6,
2021,Two or More Races,800-990,,24,
2021,Two or More Races,1000-1190,,35,
2021,Two or More Races,1200-1390,,24,
2021,Two or More Races,1400-1600,,11,
2021,Total,400-590,4647,,
2021,Total,600-790,174343,,
2021,Total,800-990,437359,,
2021,Total,1000-1190,477893,,
2021,Total,1200-1390,296187,,
2021,Total,1400-1600,118704,,
2021,No Response,400-590,,2.4,
2021,No Response,600-790,,26.0,
2021,No Response,800-990,,33.1,
2021,No Response,1000-1190,,21.3,
2021,No Response,1200-1390,,11.0,
2021,No Response,1400-1600,,6.6,
